Total words,Number words male,Number words female,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
6394,2631,1512,2251,343,2,1995,5,142,51.5,42.33333333,46,65,Female
8780,5236,1524,2020,1219,9,2001,4,37,39.125,29.33333333,58,34,Male
4176,3079,155,942,787,7,1968,1,376,42.5,37,46,37,Male
9855,5342,1073,3440,2623,12,2002,2,19,35.22222222,21.5,33,23,Male
7688,2536,1317,3835,3149,8,1988,4,40,45.25,45,36,39,Male
5872,2889,1492,1491,994,11,1997,4,327,45.90909091,36.5,55,41,Male
5322,2631,1500,1191,287,6,1980,3,269,47,24.5,61,25,Male
6098,3057,349,2692,2472,9,1988,2,53,43,31,48,31,Male
8851,3952,857,4042,3476,13,2001,2,89,47.41666667,28.5,33,27,Male
9626,5403,2619,1604,869,9,1973,6,565,26.5,22,20,26,Male
12705,7024,759,4922,4163,12,2002,1,48,50.55555556,39,54,39,Male
12995,1333,4001,7661,3942,5,1977,3,152,41.6,39.33333333,42,31,Male
9925,5300,1141,3484,2920,6,1997,3,1,50.6,36.5,62,32,Male
5323,1481,1544,2298,1306,5,1997,4,102,41.8,39.5,34,32,Male
2081,1141,0,940,508,4,1999,1,351,48,29,29,57,Female
11729,4314,2417,4998,4273,8,1990,6,107,42,57.2,39,85,Male
4498,2947,832,719,200,11,1984,3,99,38.85714286,36.66666667,30,23,Male
11252,4164,3133,3955,1965,7,1995,5,131,32.28571429,34,30,29,Male
3918,456,846,2616,1770,4,1992,1,4,55,28,53,28,Male
11361,5453,1729,4179,2930,9,2000,3,3,36.71428571,39.33333333,40,29,Male
7344,2292,2680,2372,521,6,1992,2,247,41.5,31.5,48,34,Male
7018,2717,1188,3113,2036,5,1992,2,341,52,31,48,34,Male
2856,1720,0,1136,343,4,1989,1,550,53,36,36,38,Female
10592,2593,1605,6394,5475,7,2000,2,64,29.57142857,32,26,40,Male
3142,1420,519,1203,896,4,1996,2,124,50.66666667,34,34,34,Male
12199,6162,2492,3545,2439,16,1994,5,3,43.16666667,43,43,40,Male
8715,2101,2173,4441,3401,5,2003,4,95,49.2,39.66666667,32,37,Male
4862,2303,404,2155,1751,6,1989,1,99,50.83333333,36,45,36,Male
11295,5433,3167,2695,1770,13,2006,9,29,43,33.2,28,32,Male
9141,1788,3511,3842,2185,8,1993,6,27,44.2,40,38,35,Male
12844,7758,693,4393,565,11,1992,2,255,42,33.5,29,37,Female
13781,7646,2844,3291,1699,16,1990,4,32,48.14285714,40.75,34,33,Male
6641,888,2468,3285,1268,4,2010,4,73,41.33333333,52.33333333,41,41,Male
5683,3103,1024,1556,684,11,1995,2,151,44.2,29,41,29,Male
7346,3319,1154,2873,2323,10,1985,3,24,47.33333333,27,38,27,Male
7266,2693,1711,2862,1493,7,1999,3,28,40.71428571,37,35,31,Male
5675,1875,1412,2388,976,8,1996,1,138,44.375,26,42,26,Male
12798,2802,3214,6782,4436,6,2003,3,350,53.2,36.33333333,41,34,Male
7380,4909,695,1776,190,9,2008,3,73,50.8,46,51,47,Female
5675,922,719,4034,3471,4,2000,2,377,42.5,37,44,37,Male
9653,2978,3657,3018,1361,4,2004,5,56,43.5,34,38,41,Female
9531,3299,1953,4279,3350,11,2004,3,44,32,41.66666667,23,52,Male
12860,8683,733,3444,1848,16,2008,4,43,42.86666667,36.5,33,40,Female
9016,3959,2689,2368,1267,9,1999,7,98,31.875,41.71428571,24,24,Male
8112,801,605,6706,6101,5,1994,1,2,51.25,33,48,33,Male
4555,2903,470,1182,712,9,2002,1,59,46,38,55,38,Male
7729,2924,945,3860,3372,10,2005,2,102,39.66666667,37,41,45,Male
11547,6677,0,4870,3383,11,1997,1,191,48,35,35,28,Female
5927,3941,1003,983,483,10,2003,3,49,37.28571429,25.66666667,44,31,Male
1870,406,823,641,24,2,1996,2,35,41.5,21,34,21,Male
8963,4354,1810,2799,1421,6,2002,2,12,45.33333333,48.5,33,43,Male
2662,379,972,1311,694,3,2008,4,5,40,28,40,28,Male
10750,5805,1521,3424,2964,13,2008,6,34,41.75,28.75,40,26,Male
5345,3117,1070,1158,770,9,1989,3,60,44.44444444,39.66666667,32,27,Male
5183,1657,773,2753,2218,3,2007,2,101,34.33333333,41,21,40,Male
13269,7966,1525,3778,2462,12,1997,2,79,44.5,28,57,28,Male
5916,3114,1467,1335,158,8,1981,2,18,53.5,29,27,29,Male
12303,3516,2080,6707,5497,11,1991,3,72,38,33.5,32,30,Male
5596,2558,1261,1777,1070,9,1984,2,70,47.66666667,46.5,25,39,Male
4318,992,1388,1938,1399,4,1990,5,116,29.25,35.8,42,22,Female
7732,2090,4113,1529,101,6,2008,5,122,33.5,51.66666667,22,32,Male
6562,3468,612,2482,1029,9,2007,3,20,45.44444444,37.33333333,38,43,Female
4596,2635,885,1076,748,8,1996,4,49,52,33.33333333,45,31,Male
2656,729,269,1658,1509,4,1999,2,95,45.66666667,31.5,37,23,Male
4507,1169,1433,1905,1066,6,1997,4,212,40,30.5,33,41,Male
6348,1570,2152,2626,1788,3,1986,4,164,31.33333333,22.5,24,19,Male
7223,4853,262,2108,1846,13,1997,1,120,49.54545455,22,42,22,Male
10362,3405,1144,5813,4870,3,1999,2,63,39.33333333,31.5,30,33,Male
2750,1842,436,472,1,6,2000,2,86,31.4,28,24,22,Female
5747,708,802,4237,3574,5,1985,2,114,44.2,27,42,25,Male
20433,6188,5777,8468,3049,10,2002,2,27,35.16666667,23,24,23,Male
8989,1994,1549,5446,4495,5,1994,3,686,43.4,32,38,10,Male
5370,1919,2432,1019,68,7,1989,5,31,26.5,20.5,62,20,Male
12554,8257,1686,2611,925,13,2009,1,174,42.91666667,29,29,29,Male
8192,4104,1432,2656,1132,9,1997,3,91,34.44444444,47.66666667,35,39,Female
2066,1151,409,506,267,5,2009,2,23,32.4,37,32,44,Male
5309,2558,458,2293,1835,9,1997,1,23,46.14285714,27,25,27,Male
8553,5283,1419,1851,560,12,2002,2,116,42.9,30,53,30,Male
13304,5568,1835,5901,4063,7,2003,5,85,47.5,49,37,38,Female
6224,2693,2246,1285,444,8,1990,4,85,46.71428571,46.5,46,31,Male
6805,1667,1684,3454,2439,9,1997,5,53,43.57142857,41.33333333,31,27,Male
8802,856,2727,5219,2757,4,1993,3,148,34.25,43,43,35,Male
4650,2151,1552,947,241,6,1995,5,30,55.25,38.2,67,29,Male
7565,4792,686,2087,1401,9,1998,1,36,44.11111111,28,29,28,Male
3398,1362,142,1894,1752,6,1990,1,97,35,37,38,37,Male
10686,5716,868,4102,3701,14,2004,4,25,31.25,27.33333333,32,26,Male
16708,10544,2440,3724,2077,15,2002,5,392,37.06666667,34.4,13,12,Male
7907,4557,1582,1768,870,11,2001,3,488,31.7,40.33333333,12,11,Male
14717,8307,3213,3197,1108,15,2004,5,348,36.2,44.8,15,14,Male
4960,3124,1098,738,376,13,1995,4,134,42.2,33.66666667,55,31,Male
8611,4180,1999,2432,1230,6,2008,2,91,56.4,32,58,36,Male
5092,2052,1544,1496,741,4,1992,5,26,35.66666667,27.66666667,29,31,Female
8450,5661,654,2135,1481,11,2000,1,20,39.57142857,29,42,29,Male
8240,2897,1440,3903,3081,7,1997,5,2,35.66666667,31.5,35,29,Male
7577,3982,2252,1343,541,8,2003,3,18,49.625,43.33333333,32,31,Male
6992,2421,1008,3563,2964,12,2004,3,32,42.2,36,40,36,Male
5745,2996,895,1854,503,5,2004,3,365,46.2,42,46,60,Female
5680,3816,849,1015,502,12,1996,2,602,42.75,35,44,38,Male
4279,1538,972,1769,797,7,1981,1,9,44.16666667,30,39,30,Male
5036,1171,1564,2301,737,5,1984,1,466,43.6,31,42,31,Male
8624,1297,3668,3659,1164,6,2003,6,50,47,38.5,42,34,Male
7061,2005,692,4364,4134,10,2009,4,21,41,43.5,48,32,Male
3497,2811,0,686,29,9,2003,1,152,41.14285714,28,28,34,Female
8599,2859,2229,3511,1542,7,1990,3,53,35.33333333,42.33333333,32,31,Male
7514,2925,1597,2992,1654,9,1991,2,2,54.22222222,33.5,43,34,Male
10170,1955,2898,5317,3592,6,1982,4,7,51,33,39,37,Male
6598,3319,744,2535,1918,9,2007,2,60,37.28571429,45,40,35,Male
9373,5884,1120,2369,1497,11,1997,2,122,43,47.5,30,44,Male
14205,6767,1103,6335,5844,7,1991,3,122,40.57142857,24.33333333,36,34,Male
8821,4621,1101,3099,2666,8,2009,4,85,49.16666667,37,42,35,Male
9950,5770,2468,1712,250,9,2010,3,44,42,35,56,27,Male
4597,2754,785,1058,547,6,1989,2,34,44,35.5,42,30,Male
6042,1287,3012,1743,99,6,2003,4,28,45.5,33.33333333,44,28,Male
5856,3657,0,2199,316,7,1996,1,65,48.14285714,40,40,48,Female
3708,2910,145,653,508,11,2003,1,543,41.90909091,36,64,36,Male
8255,4849,1212,2194,1337,11,2001,2,482,43.90909091,28,62,32,Male
4796,3746,206,844,638,13,2002,1,509,42.92307692,33,31,33,Male
7203,4288,1267,1648,983,8,1998,2,128,43,29,31,42,Male
7719,1326,859,5534,4970,6,1992,3,101,41.16666667,34.33333333,38,34,Male
11126,6124,1316,3686,2689,12,2003,3,49,37.1,33,33,33,Male
6843,2298,2015,2530,1510,5,2004,3,109,52.25,20.5,50,10,Male
10501,2240,4008,4253,1776,9,1992,4,8,49.875,36.25,55,38,Male
6294,4386,444,1464,1167,8,1998,2,105,38.8,38,24,38,Male
12260,6893,1463,3904,2828,9,2004,3,92,49.625,39.33333333,50,37,Male
9072,3704,1310,4058,3356,10,1986,3,20,35.375,29,33,28,Male
5375,2025,1583,1767,763,7,1994,3,249,38.5,27,32,22,Male
4737,1530,1084,2123,1247,3,1999,2,292,35,49,38,32,Male
1959,885,319,755,436,5,2008,1,49,35.33333333,25,37,25,Male
6718,3586,661,2471,1810,8,1997,1,473,43.42857143,39,51,39,Male
8285,3299,781,4205,3567,7,1997,2,60,38.4,35,36,24,Male
4514,2782,241,1491,1250,9,1978,1,130,34.28571429,24,29,24,Male
5893,3241,1062,1590,629,6,2000,2,98,39.66666667,37,36,35,Male
5908,2053,1490,2365,1614,7,2001,4,8,38.6,38.5,33,37,Male
9871,5144,1222,3505,3081,6,2007,4,36,48,40.75,52,20,Male
6165,4466,0,1699,89,9,1999,1,265,40,29,29,31,Female
6677,3011,1646,2020,478,5,1991,3,123,33.4,22,11,39,Female
9615,3308,1402,4905,2591,4,1997,4,240,46.33333333,47.25,30,34,Female
11352,5551,1177,4624,3771,9,1994,3,104,35.6,27.66666667,29,21,Male
10024,5836,807,3381,2902,17,1992,2,5,36.82352941,35,18,51,Male
4117,989,1186,1942,756,5,2007,1,22,54.25,25,43,25,Male
5051,2188,1117,1746,1046,6,1984,3,68,33.6,29.5,20,21,Female
10732,3285,4037,3410,939,3,2009,4,48,32.66666667,40.75,36,38,Female
5026,3538,167,1321,119,6,2008,2,32,36.66666667,36,24,40,Female
5409,1604,841,2964,2371,6,2001,2,72,46,40,33,40,Male
3306,1689,616,1001,204,3,2002,3,142,40.66666667,32.66666667,40,31,Female
5762,858,1858,3046,2496,4,2005,4,153,41.5,27.5,38,19,Male
6720,3498,152,3070,2918,9,2000,1,182,42.83333333,35,44,35,Male
5955,3007,1259,1689,734,8,2001,3,305,39.66666667,27,29,28,Male
10584,4737,1510,4337,2242,6,1986,6,97,39.66666667,39.66666667,32,22,Female
11649,4657,2139,4853,3653,12,1993,6,65,39.375,42.66666667,38,26,Male
4006,2574,576,856,554,6,1992,2,35,23.75,29,30,24,Male
7163,3719,437,3007,488,3,1990,2,366,38,25.5,23,41,Female
9984,7771,110,2103,1993,11,1987,1,68,40.77777778,35,35,35,Male
9484,2107,2545,4832,3831,3,2009,5,190,44.33333333,54.75,45,65,Female
8735,4129,2809,1797,608,8,1960,5,545,41.83333333,39,29,31,Male
8063,3766,2036,2261,519,10,1995,2,32,39.5,23,34,34,Male
6955,954,2305,3696,2691,5,2002,6,26,39,33,36,35,Male
7636,2946,2094,2596,1580,7,1994,4,224,36.14285714,29.33333333,40,24,Male
5333,2872,553,1908,401,4,2006,3,74,51.25,57,61,37,Female
3193,1836,440,917,477,7,1985,1,367,48.66666667,27,39,27,Male
7709,3914,1297,2498,1811,6,1985,3,31,29.33333333,30.66666667,26,23,Male
14591,6953,2168,5470,3302,10,2000,1,28,42,33,41,33,Male
4830,3077,540,1213,673,16,2000,1,72,42.25,30,36,30,Male
3554,1219,1168,1167,407,5,1975,3,594,31,27.33333333,29,29,Male
7277,5262,301,1714,1532,14,1996,2,263,43.46153846,26.5,32,28,Male
13957,7001,1777,5179,4085,14,1991,3,343,43.75,46,36,33,Male
8247,5555,585,2107,1522,16,2008,1,6,37,36,60,36,Male
6165,2356,2245,1564,171,8,2013,3,1,37.57142857,39.33333333,21,17,Male
5188,1145,1060,2983,2090,4,1998,2,31,35,25,18,30,Male
4410,1089,1721,1600,48,5,1997,2,116,44.5,32.5,38,34,Male
7304,4318,654,2332,214,5,2001,4,139,36,21,20,31,Female
5842,1835,763,3244,2796,6,2002,3,1,35.33333333,33,43,38,Male
13704,3959,1556,8189,7338,12,1983,2,1,46.4,25,43,25,Male
9231,4638,839,3754,3022,8,2008,2,40,38.83333333,43,41,43,Male
3112,1527,1084,501,158,8,1994,5,16,32.66666667,43,54,26,Male
9629,3488,2996,3145,1359,7,2010,4,34,32.83333333,30,28,28,Male
5282,2029,923,2330,1407,4,2002,1,341,29.75,46,46,46,Male
11680,7333,503,3844,1328,11,1991,3,270,49.66666667,26.5,29,54,Female
8378,1984,2395,3999,3200,4,1992,6,293,45.66666667,45.83333333,37,39,Female
9895,6407,2051,1437,609,15,2006,4,47,41.6,41,50,25,Male
4501,1547,1236,1718,471,2,1993,4,24,46.5,37,32,34,Female
8681,4101,1972,2608,1521,10,1999,4,24,47.1,42,70,28,Male
15824,1566,8159,6099,1125,2,2003,5,180,52.5,44.75,66,57,Male
6235,3915,951,1369,152,9,1999,7,89,40.25,35.33333333,38,30,Female
14266,4585,5367,4314,148,4,2004,7,58,23.5,34.42857143,38,38,Female
6054,2809,257,2988,2835,8,2004,2,6,44.14285714,24,45,24,Male
4891,3617,359,915,556,8,1983,1,853,41.375,27,32,27,Male
5454,2704,1273,1477,809,10,2002,4,465,53.6,42,31,21,Male
7039,4343,682,2014,1543,12,2009,3,299,62.16666667,48.33333333,78,77,Male
9047,5926,636,2485,1849,13,1977,1,1798,42.91666667,21,26,21,Male
8694,3890,2299,2505,1235,10,1997,5,103,37.66666667,38.75,29,26,Male
9460,5897,859,2704,2248,13,2000,3,11,51.3,35,50,35,Male
6143,4329,216,1598,1382,13,1973,1,786,47.5,41,48,41,Male
6456,4035,0,2421,1148,7,1984,1,74,43.6,33,33,35,Female
10513,3492,3153,3868,1773,8,1999,6,36,33,27,41,34,Male
8611,6821,363,1427,1064,8,2007,1,68,46.85714286,28,67,28,Male
3288,1687,258,1343,1085,5,1982,1,97,39.8,28,33,28,Male
12141,8789,136,3216,3080,17,2000,1,55,52.63636364,46,45,46,Male
14243,5331,4093,4819,1247,7,1993,3,8,30.71428571,24.66666667,50,39,Male
12452,6217,632,5603,5249,7,1987,3,373,33.75,44.5,42,26,Male
8611,5299,612,2700,2088,9,1992,1,47,48.2,32,33,32,Male
11665,3247,2686,5732,3808,5,1996,2,106,50,42,41,42,Male
19960,11248,1809,6903,5094,11,1987,1,56,44.63636364,39,43,39,Male
5880,2859,523,2498,2249,7,1995,3,61,44.14285714,30.66666667,39,40,Male
9776,4954,3073,1749,541,15,2000,4,200,42.46153846,32,56,31,Male
4928,2393,402,2133,1731,4,1998,1,233,37.5,34,36,34,Male
4576,2341,475,1760,1556,6,2000,3,153,36.66666667,62.5,52,47,Male
6431,3697,725,2009,1676,10,1992,3,211,42.625,39.5,62,40,Male
8627,4910,1804,1913,97,9,2005,4,95,52.28571429,40.5,24,45,Female
9268,2299,2613,4356,2737,5,2001,3,155,41.4,32.33333333,39,27,Male
6993,3385,1473,2135,1086,6,1998,3,18,38.2,36.66666667,32,26,Male
3044,1750,291,1003,845,6,2004,2,64,38.5,31,32,27,Male
5508,1095,1606,2807,1707,4,2002,2,61,37,30,24,18,Male
9917,2218,3564,4135,1577,6,2008,5,163,43.75,31.33333333,29,33,Male
1468,879,0,589,17,3,2005,1,317,23,11,11,23,Female
11504,5856,2757,2891,432,12,2009,2,125,44.44444444,34.5,36,31,Male
8731,5751,173,2807,2634,15,1996,1,20,39.66666667,37,47,37,Male
5723,1999,1849,1875,356,6,1985,2,160,42,32,43,28,Male
9092,4706,1326,3060,1709,7,1939,3,839,47.16666667,36.33333333,17,35,Female
8603,4327,2016,2260,1004,10,2009,3,208,35.5,52.5,41,32,Male
7054,2342,998,3714,2716,7,2002,1,211,40.4,27,35,27,Male
11278,6416,2560,2302,1286,13,2009,5,192,47.09090909,28.75,43,37,Male
16612,10688,1206,4718,1372,8,1999,3,65,31.28571429,23.33333333,18,20,Female
19324,11964,3148,4212,3423,22,2013,5,60,42.38461538,40.25,36,31,Male
15092,4558,3806,6728,4760,7,2009,6,74,33.57142857,29,22,37,Male
11927,5836,704,5387,4857,6,2011,2,40,44,34,28,34,Male
22962,10954,3438,8570,6684,12,1982,7,224,32.91666667,25.8,41,30,Male
18184,3824,5422,8938,4858,8,2009,4,37,38.33333333,30.25,28,29,Male
37778,15776,5854,16148,10294,18,1992,1,295,38.375,30,30,30,Male
11538,5632,3006,2900,1376,6,1997,4,94,60.33333333,37,67,33,Male
15400,10458,176,4766,704,15,1989,2,118,39.91666667,40.5,31,39,Female
4779,1994,1212,1573,1173,10,1994,4,150,48.88888889,40.25,30,52,Female
5209,1093,2481,1635,129,4,1991,4,235,41.5,41.5,51,40,Male
15279,6047,3222,6010,4022,8,2011,3,68,45.85714286,28,41,28,Male
19304,7594,2272,9438,8248,8,1997,3,11,40.375,36.33333333,56,48,Male
5435,2656,774,2005,1231,5,1992,1,454,49.75,22,41,22,Male
6646,1928,2830,1888,4,4,1979,3,6,44.5,38.66666667,46,30,Male
7646,5800,0,1846,432,12,1992,1,116,40.55555556,43,43,41,Female
12406,5930,1566,4910,3200,9,1986,6,199,32.625,28.5,37,29,Female
15090,6446,938,7706,4582,8,2009,5,39,44.75,46.25,45,49,Female
23124,10784,6766,5574,2974,11,2000,8,52,28.66666667,24.14285714,32,43,Male
14472,5724,850,7898,7374,8,2009,2,16,41,36.5,60,20,Male
14636,4306,4754,5576,2826,6,1999,2,222,39.16666667,29,40,41,Male
21605,10055,5507,6043,3745,8,2013,5,160,43.875,42.5,39,23,Male
10575,6508,911,3156,2406,11,2001,2,20,36,39,25,25,Male
14890,6084,4844,3962,2966,7,1999,8,174,29.28571429,23.75,19,20,Male
32174,5530,12002,14642,6862,10,1995,8,130,40.625,36,51,37,Male
17000,3130,3038,10832,9974,7,2000,6,24,36.2,28,26,26,Male
18842,7616,3148,8078,5310,10,2003,4,8,41.57142857,25.5,12,39,Male
20324,5994,6342,7988,3592,3,2009,7,14,35.66666667,32.8,24,56,Female
28454,15646,2292,10516,8954,16,1999,5,183,52.38461538,46.8,51,36,Male
19390,8140,1358,9892,4938,7,2001,3,36,31,40.66666667,32,33,Female
17886,9208,2848,5830,3522,12,2009,3,154,42.16666667,39.5,53,40,Male
8013,4522,1866,1625,1158,8,2012,6,13,38.83333333,35,40,24,Male
11813,2536,6461,2816,349,6,2001,7,6,40.16666667,34.85714286,36,39,Male
10953,8031,1215,1707,971,19,2011,2,4,39.13333333,60,44,74,Male
17378,8310,1710,7358,5648,13,2001,1,16,36.36363636,22,27,22,Male
11976,3814,2796,5366,3250,6,1998,3,168,54.4,53.5,63,40,Male
19904,10730,564,8610,8046,15,1979,1,16,37.46153846,34,39,34,Male
28042,16052,614,11376,10894,10,1998,2,16,45.22222222,31.5,59,42,Male
11507,4722,2198,4587,3318,12,2012,3,8,57.27272727,43.33333333,63,66,Male
6942,4262,379,2301,2041,13,1998,2,374,41.22222222,27,43,21,Male
1954,722,440,792,352,2,1992,1,24,46,27,34,27,Male
7334,2493,1661,3180,1295,3,1981,4,298,66,34.5,35,77,Female
23766,6886,7906,8974,1588,8,1997,3,280,42.85714286,40.66666667,60,34,Male
16724,4092,4380,8252,4248,3,1995,3,60,43.66666667,32.5,49,35,Male
14730,4286,1416,9028,7774,7,1999,2,38,40.16666667,42,40,42,Male
15494,3970,5962,5562,2236,10,2009,4,882,40.625,44.75,33,60,Male
11625,7096,1723,2806,1432,12,2012,2,680,51.33333333,34,47,28,Male
15406,8274,4118,3014,424,22,2006,6,45,39.22222222,30,43,50,Male
11504,3414,2784,5306,2193,2,2010,7,41,51,44.8,41,34,Female
22642,13950,2798,5894,3944,13,1991,3,160,40.25,36.33333333,28,29,Male
5888,2674,484,2730,2246,5,2003,1,86,37,36,45,36,Male
15124,4342,3694,7088,6002,9,2011,7,109,35.625,37.83333333,39,48,Female
12490,5720,2078,4692,2740,6,2003,2,38,40.16666667,34,49,38,Male
11796,5052,2094,4650,3664,8,1996,5,5,43.33333333,29,31,25,Male
8768,3400,3126,2242,800,7,1997,4,202,49,27,50,27,Male
7074,4139,922,2013,1091,14,2005,1,278,46.69230769,27,31,27,Male
10928,5636,2082,3210,1242,7,1995,2,368,42,31,36,28,Male
10334,4432,902,5000,4538,9,1997,2,85,40.57142857,25,43,25,Male
10811,2569,2502,5740,3809,3,2010,3,6,60,36.33333333,39,27,Male
10173,3304,3931,2938,1007,5,1999,4,39,44.4,39.66666667,33,27,Male
16552,4510,3332,8710,6960,16,2001,5,0,33.3,30.25,21,23,Male
27036,8692,8758,9586,3698,4,1998,8,42,50.75,51,44,52,Female
4554,2476,548,1530,822,5,1993,2,48,41.6,30,27,30,Female
16019,9259,3723,3037,226,7,2011,5,50,51.33333333,67.5,77,21,Female
11154,2906,2586,5662,3076,4,1988,1,243,30,28,32,28,Male
10197,4733,830,4634,3804,8,1998,1,32,48,38,49,38,Male
10468,3256,2682,4530,1978,4,2001,2,7,31.25,34,31,34,Male
20784,6580,5730,8474,4414,8,2006,7,12,43.2,36.25,58,26,Male
4260,0,2313,1947,598,1,2010,3,117,44,38,44,29,Male
10974,3282,3548,4144,1362,6,1998,4,129,41.33333333,28,25,28,Male
11254,6064,2064,3126,1198,9,2002,2,122,41.5,30,40,30,Male
13086,6322,2078,4686,3052,8,1982,2,4,43.25,22.5,40,23,Male
16440,7764,2548,6128,2752,9,1999,3,45,37,36.5,23,56,Female
14812,6922,2273,5617,3680,9,2009,9,296,46.2,44.5,45,25,Female
5480,1582,2500,1398,100,3,2013,6,6,46,27.66666667,23,19,Female
10327,2795,3925,3607,1577,6,1996,3,2,46.66666667,34,23,27,Male
20292,4116,7582,8594,5006,8,1986,4,20,48.8,42,27,19,Male
9748,2938,2366,4444,2492,2,1993,3,1,32,24,32,30,Male
6708,3778,1463,1467,189,7,2001,2,11,38,36,37,52,Male
16610,9562,2680,4368,3712,16,1997,7,50,40.85714286,34.71428571,26,27,Male
18994,7664,4598,6732,4028,6,2010,4,104,58.66666667,46.66666667,56,27,Male
12346,1238,4558,6550,5920,3,1996,2,7,50.5,36,38,35,Female
4432,3035,0,1397,502,11,2002,1,181,43.8,28,28,51,Female
9756,5708,1750,2298,270,10,2004,4,246,42,29.5,48,34,Female
9760,4248,1996,3516,1904,8,2007,2,287,48.14285714,38.5,58,51,Male
13679,8671,1018,3990,1171,13,2009,5,17,56.25,32,37,36,Female
16586,9038,2974,4574,1600,5,1985,1,93,28.2,17,26,17,Male
19038,6702,3234,9102,7486,6,2005,3,2,24,24,24,24,Male
10911,1901,4995,4015,2702,4,2011,8,185,40.5,36.28571429,38,32,Female
21702,4288,9556,7858,16,8,1987,4,113,50.4,29.75,37,29,Male
14800,8600,1554,4646,348,4,2009,3,5,43.25,45.66666667,46,52,Female
13410,3534,4408,5468,1292,4,2008,2,4,59.25,32.5,41,38,Male
11161,5980,1780,3401,1787,11,1992,6,34,31.3,27.8,23,57,Female
9886,4932,344,4610,4266,13,1988,1,107,32.71428571,25,33,25,Male
14333,4247,633,9453,9134,6,2010,2,1,43.25,40,34,40,Male
17588,6800,4600,6188,2969,6,2010,7,43,42.33333333,36.66666667,30,28,Female
21587,7781,3472,10334,8217,10,2005,5,38,47.5,54,38,46,Male
12446,6934,1511,4001,2651,15,2011,2,209,57.38461538,45,48,40,Male
7279,2035,1842,3402,2578,4,2009,4,15,41.33333333,34,40,34,Female
67548,31146,9604,26798,19138,26,1995,9,84,54.70588235,53,52,37,Male
10500,3972,1688,4840,4115,6,2002,4,245,42,36.66666667,28,28,Male
7613,2600,2009,3004,2249,12,2000,8,2,26.33333333,33.8,27,25,Male
12522,5056,732,6734,4100,7,2012,4,3,35.71428571,28.33333333,36,34,Female
10958,3536,4532,2890,110,9,2000,2,98,44,32,30,31,Male
18752,8079,2465,8208,6652,5,2011,5,40,51.2,42,35,39,Male
8820,3608,2432,2780,1278,4,2000,2,201,36,26.5,25,32,Female
21332,11112,758,9462,9076,8,1997,3,22,24.6,32,25,32,Male
30626,12520,6956,11150,7732,8,1994,5,6,24.66666667,26.33333333,25,33,Male
8196,4139,1872,2185,630,8,1993,3,176,43.125,32.5,47,31,Male
10214,5146,2988,2080,480,6,1995,5,113,28.8,30.8,19,26,Female
19270,11568,3248,4454,576,14,2003,8,137,40,39,34,31,Female
10244,4450,476,5318,4944,13,2004,2,140,40.44444444,54.5,42,69,Male
17663,7231,4368,6064,4030,9,1994,4,41,38.66666667,39.25,39,21,Male
8202,3922,2009,2271,262,10,2011,1,23,44.75,31,32,31,Male
11424,4956,1170,5298,4128,12,2003,1,17,43.7,33,35,33,Male
13154,4732,3662,4760,1486,11,2003,2,11,46.4,30.5,45,36,Male
24388,8310,7932,8146,5750,9,1995,4,64,36,41.5,46,32,Female
8659,3965,2623,2071,195,8,2011,4,0,54.14285714,62.66666667,65,74,Male
11249,7604,713,2932,2447,11,1996,2,115,33.77777778,46.5,42,36,Male
14320,8197,2763,3360,985,15,2011,3,109,43.375,30.5,43,27,Male
4926,1808,613,2505,1892,5,2006,1,36,38.25,30,39,30,Male
15960,4150,3360,8450,6710,7,1998,2,11,36,34.5,34,35,Male
