Total words,Number words male,Number words female,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
7086,3572,984,2530,1792,9,1994,2,105,40.83333333,33.5,32,26,Male
17732,1800,7214,8718,3328,4,1999,4,65,25.75,39.25,25,22,Male
17220,5770,196,11254,11058,12,2009,1,0,44.5,42,11,42,Male
15296,10514,1260,3522,2372,16,1990,2,378,35.90909091,22,35,38,Male
31648,22422,3246,5980,3872,29,2008,5,645,40.65,34.4,29,31,Male
15500,3007,5690,6803,1841,8,2010,5,108,37.75,36.5,48,40,Male
23252,15644,1036,6572,5772,13,1989,3,210,36,25.5,38,22,Male
14573,8770,3745,2058,86,10,2010,3,47,44.6,44.33333333,42,32,Male
5100,1153,2072,1875,203,2,2010,2,34,62,45.5,62,65,Male
4968,2615,667,1686,1019,8,1998,1,20,40.625,34,47,34,Male
20724,12410,2030,6284,4254,15,2006,1,175,47.72727273,33,36,33,Male
5708,1171,1801,2736,1635,5,2013,5,393,46.2,31.75,51,40,Male
21982,13154,3556,5272,3814,16,1999,5,7,32.33333333,29.4,22,56,Male
20938,8238,2660,10040,8260,10,1995,4,32,43.85714286,44.25,41,32,Male
22288,8962,4908,8418,6234,10,1997,6,115,54,29.2,33,22,Male
15294,9990,1200,4104,3184,17,1988,3,172,39.28571429,38,33,40,Male
9399,5204,1438,2757,2149,11,1990,4,242,45.9,38,35,34,Male
8754,5089,1370,2295,1551,7,1982,4,41,25.66666667,28,30,28,Male
30524,20044,4196,6284,1240,8,1999,5,52,39.85714286,31.6,41,34,Female
4484,1502,2371,611,374,8,2001,7,1,32.14285714,31.33333333,61,49,Female
13814,4518,5962,3334,1630,6,2009,6,48,41.5,51.5,36,66,Male
3558,1675,832,1051,334,4,2011,2,38,48.5,31,55,26,Male
4056,1232,1364,1460,206,5,2011,2,11,53.8,27.5,47,25,Male
13630,2496,7826,3308,2766,9,1999,16,18,39.85714286,37.14285714,17,29,Female
7020,3800,1716,1504,600,10,1989,4,8,51.11111111,39,55,43,Male
17728,8262,1464,8002,6946,5,1994,2,264,45.2,39,32,31,Male
4718,2505,685,1528,1160,5,2007,2,21,52.6,40.5,49,22,Male
11290,1001,2671,7618,6971,3,2010,5,64,31.33333333,26.6,22,25,Female
23878,6092,6592,11194,9040,14,1999,10,38,39.4,36.57142857,30,41,Male
10330,7372,718,2240,162,7,2002,3,25,34.5,49,35,31,Female
24124,5212,9754,9158,2178,4,1999,6,25,36.33333333,26,37,23,Male
18784,9682,4584,4518,1106,10,1996,3,154,42.375,31,34,32,Male
13919,6501,3302,4116,956,10,2002,8,58,45.28571429,26.5,33,43,Female
16102,0,7164,8938,1774,1,1999,1,150,69,30,69,30,Male
10794,7985,972,1837,377,12,1989,4,4,45.18181818,39.33333333,28,47,Female
5474,3306,500,1668,1414,6,1981,2,78,49.5,36,56,36,Male
22846,10952,3540,8354,1872,6,2004,7,47,39.5,25.5,29,42,Female
22694,6230,12108,4356,792,11,1993,11,3,43.28571429,38.66666667,53,21,Male
11760,3886,3944,3930,1450,5,1997,2,50,34,37.5,50,32,Male
13956,5891,2162,5903,4833,9,2009,3,12,43.22222222,40.66666667,40,36,Male
13356,3844,2807,6705,4431,5,1989,3,36,41.8,24.66666667,48,31,Male
29106,6780,8112,14214,8512,13,2000,6,122,45.27272727,32.4,36,34,Male
17372,9716,3284,4372,1326,9,2005,3,210,37.33333333,29,32,24,Male
12073,4204,864,7005,6141,9,2009,1,24,50.42857143,60,48,60,Male
16260,11774,286,4200,130,12,1996,3,48,43.71428571,40,39,46,Female
19636,3002,7694,8940,6108,9,1993,4,16,42,35,44,34,Male
18274,8434,1992,7848,2042,7,2014,4,133,39.33333333,34,23,20,Female
24064,8494,1080,14490,13692,8,1998,3,19,39.8,43.66666667,35,69,Male
14621,6087,901,7633,7019,11,1989,2,141,41.57142857,43,34,7,Male
11906,4695,1645,5566,3921,6,2010,1,103,50.2,36,36,36,Male
6294,2841,1147,2306,1085,8,2003,6,67,30,29.8,25,31,Female
18826,7462,4704,6660,3120,13,2003,5,549,43.23076923,43.75,56,45,Male
12111,4183,2935,4993,3758,10,2012,4,102,44.2,46.66666667,58,35,Male
25338,8682,9230,7426,5386,7,1995,10,8,34.57142857,27.7,34,35,Male
24168,6682,3612,13874,11274,5,2007,4,49,49.4,39.66666667,27,28,Male
26730,10752,3724,12254,8860,17,1982,4,14,46,50,33,39,Female
7446,4445,1224,1777,399,8,2003,4,118,37.14285714,32.5,24,23,Female
13192,6730,1154,5308,4402,8,2000,3,72,30.875,42.33333333,32,30,Male
19924,8934,2016,8974,8008,9,1996,3,20,47.25,29,35,23,Male
13352,3468,3532,6352,4328,6,2008,4,3,35.5,37,48,18,Female
6904,1263,2955,2686,1557,7,2013,6,17,32.5,33.33333333,26,43,Male
13762,8936,1350,3476,3068,21,1993,4,386,46.46666667,36.5,47,33,Male
13486,8522,102,4862,4760,16,1987,1,103,38.33333333,26,43,26,Male
43768,20464,7596,15708,10928,9,2009,6,60,35.5,27.25,43,37,Male
22974,10122,3588,9264,7434,15,1997,3,10,41.44444444,37,43,33,Male
17523,5611,4784,7128,3880,10,2004,6,37,34.44444444,39,29,23,Male
4738,1134,1142,2462,2072,5,2000,3,24,45.66666667,29,54,42,Male
13375,7717,1787,3871,2303,7,2009,2,10,56.66666667,60,78,60,Male
21584,8394,3092,10098,7906,10,1995,5,144,48.4,44,41,41,Male
4267,1723,203,2341,2138,7,1972,1,138,50.8,25,42,25,Male
16158,2064,8604,5490,792,6,1990,2,448,48,31.5,38,35,Male
9648,5974,390,3284,2894,6,1996,1,75,45.66666667,25,37,25,Male
12632,2360,2928,7344,4526,2,2002,2,45,45.5,25,52,36,Male
27560,8868,6416,12276,6022,9,2001,7,9,37.55555556,28.57142857,19,44,Female
19958,12542,1252,6164,5702,13,1989,4,245,42.83333333,38.66666667,39,37,Male
18132,10846,2778,4508,1730,10,2000,1,303,47.77777778,35,26,35,Male
13756,9596,1566,2594,534,11,1999,4,28,28.25,25.25,20,29,Female
22344,7616,2756,11972,9898,7,1998,3,11,46,53.5,59,55,Male
22164,11404,3352,7408,4056,6,1997,1,261,43.8,27,46,27,Male
3270,690,0,2580,1890,1,2013,1,293,63,49,49,63,Female
16948,4416,8032,4500,300,9,1990,2,27,48.44444444,35.5,24,39,Male
5918,2386,1598,1934,850,4,2004,4,154,43.33333333,28.75,27,31,Female
12286,7778,2180,2328,622,11,1995,2,15,27.75,30.5,32,20,Male
21835,9267,5987,6581,4646,9,2011,8,49,44.11111111,43.2,43,37,Male
10274,4552,2313,3409,1297,8,2011,4,44,50.4,27.25,17,43,Female
31430,9930,12596,8904,2636,13,1986,4,94,49.7,37,51,38,Male
16058,9846,3472,2740,1044,18,2005,5,393,39.27777778,38.2,16,15,Male
13486,3014,5146,5326,3300,4,1999,5,156,46.5,40.2,32,31,Female
11216,156,6148,4912,4756,1,1994,7,6,22,30.33333333,17,22,Female
7244,2206,2964,2074,576,4,1987,2,32,34.66666667,26.5,45,21,Male
18481,1951,12226,4304,3203,4,2011,12,186,38.33333333,42.66666667,23,27,Female
41260,6738,10146,24376,17822,7,2000,7,44,30.5,31.5,34,29,Male
4728,2243,342,2143,1960,9,1986,2,13,39.375,34,29,24,Male
7948,2542,3058,2348,1071,4,2006,4,55,35,31.5,30,30,Male
21736,14238,2768,4730,3476,13,2005,5,69,42.61538462,32,34,25,Male
15498,4174,6032,5292,700,4,2000,3,118,41.75,33.33333333,42,37,Male
9442,4854,1125,3463,2607,6,2011,3,129,48.5,38,36,42,Male
19300,5408,7220,6672,3200,8,1998,5,139,56.4,41.6,62,14,Male
15173,6858,325,7990,7665,6,2010,1,239,32.33333333,37,28,37,Male
7888,3154,1250,3484,2444,8,2014,2,188,37,43,32,45,Male
10597,4709,1903,3985,2832,10,1991,3,35,48,33.33333333,36,33,Male
12188,3292,2474,6422,3130,1,2001,3,1,34,40.33333333,33,34,Female
12914,5815,2677,4422,2163,6,2011,2,60,29.33333333,25,21,25,Male
15268,5480,3352,6436,4210,8,2001,6,61,41,35.33333333,43,46,Female
9135,2472,881,5782,5150,4,2009,3,2,42.5,42,47,37,Male
7650,4756,472,2422,528,7,1998,2,74,40.57142857,22,19,24,Female
26450,6460,11408,8582,4918,6,1994,8,21,43.25,29.33333333,53,44,Male
15000,7274,4254,3472,1356,10,1997,7,14,30.11111111,33.83333333,41,22,Female
14610,7732,2724,4154,1798,8,2009,3,8,44.85714286,21,80,21,Male
12229,3332,4682,4215,1622,6,2001,4,55,50,46.33333333,53,52,Male
28758,16170,7050,5538,2544,11,2009,5,2,42.8,42.8,51,61,Male
13314,5826,908,6580,5672,8,2010,1,323,44.75,35,36,35,Male
7466,3124,1192,3150,2140,8,1987,2,57,43.375,33.5,33,26,Male
22802,12120,1614,9068,8256,13,1999,3,49,52.4,45,59,47,Male
7989,1276,4351,2362,73,4,2010,4,59,33.66666667,46.25,37,31,Male
14388,5618,3410,5360,3248,9,2002,4,100,42.25,28.66666667,62,28,Male
21372,7222,3610,10540,7452,4,1994,5,218,34,24.2,31,12,Male
18636,5818,6432,6386,1924,8,2007,7,23,46.2,28.4,22,23,Male
20010,5280,7876,6854,3170,5,1997,4,11,33.2,34.5,23,20,Male
6824,3940,290,2594,2411,12,2009,2,43,50.66666667,33.5,72,28,Male
6753,1858,888,4007,2716,5,2011,4,32,57.6,47.5,62,62,Female
9488,3723,1226,4539,1866,5,2009,6,131,37.6,42.6,60,51,Female
10203,2556,3013,4634,3013,4,2005,2,8,46,31.5,32,20,Male
39038,14196,13054,11788,1472,8,1997,4,75,46.375,35.75,49,48,Male
16338,7696,3718,4924,190,5,2011,8,12,40.4,35.14285714,22,34,Female
7068,3678,835,2555,1985,7,1975,3,1103,41.33333333,51.33333333,48,38,Male
7461,3313,1641,2507,1940,12,1978,6,382,32.54545455,32,46,41,Male
23822,9014,4838,9970,8122,20,2001,6,46,31.5,30.4,27,21,Male
21380,8180,2564,10636,8948,10,1992,2,23,38.5,32,36,22,Male
19312,2526,6570,10216,5844,8,1996,5,303,28.75,26.5,34,27,Male
57524,22650,6772,28102,25822,27,1991,7,145,47.26086957,35,36,42,Male
11246,5229,3262,2755,1322,10,1995,5,69,45.77777778,42.25,49,30,Male
22448,5138,5682,11628,8540,4,2007,8,180,32.66666667,28.66666667,20,38,Female
11329,6838,1941,2550,1116,11,1993,2,844,41.63636364,20,46,26,Male
6384,2179,1597,2608,1225,3,1993,3,5,34,28,30,28,Male
9836,1910,3916,4010,2540,5,1995,8,14,20.66666667,18.66666667,17,16,Male
15187,8706,1441,5040,4255,10,2010,2,153,58,42.5,50,44,Male
18967,6942,3360,8665,6045,12,2007,5,188,30.83333333,25,25,35,Male
11016,5502,1058,4456,3640,7,2008,2,260,47.28571429,36.5,39,33,Male
13956,8932,898,4126,982,4,1999,3,54,43,45.66666667,35,39,Female
3747,1865,486,1396,910,4,2005,1,27,48.66666667,30,36,30,Male
12967,6678,3233,3056,15,11,2011,9,39,48,43,44,55,Female
11012,1430,4380,5202,2242,7,2008,6,18,46.8,46.16666667,71,49,Male
15468,9012,240,6216,5976,7,2003,1,160,46,27,41,27,Male
18930,11786,2666,4478,518,7,2009,3,7,49,43,64,80,Female
9078,1806,206,7066,5754,5,1995,2,64,43.2,32,32,37,Female
13831,7541,3079,3211,2391,14,2012,6,162,38.77777778,34.4,44,30,Male
14996,8268,1282,5446,5022,9,1987,5,145,45,33.75,41,35,Male
20280,11390,2096,6794,5162,8,1998,4,241,49.125,50,42,44,Male
28192,17792,444,9956,9650,21,1999,2,109,40.11764706,29,38,28,Male
21036,7692,6262,7082,3658,10,2001,4,23,34.33333333,35.75,54,41,Male
4536,2312,289,1935,1646,6,2012,1,136,29.33333333,42,19,42,Male
11310,3610,1474,6226,5408,8,1992,2,2,38.33333333,35.5,37,44,Male
18272,7156,3416,7700,4452,8,1999,2,5,47.85714286,49.5,61,53,Male
10090,1305,1858,6927,6062,6,2011,4,86,42.66666667,37,36,29,Male
8809,5779,1716,1314,96,20,2012,4,198,52.66666667,54.25,63,66,Male
19192,6611,3303,9278,7927,12,2011,6,63,44.2,39.66666667,42,47,Male
2518,1716,121,681,560,8,1994,1,880,47.25,39,46,39,Male
15332,8462,2418,4452,3326,18,2000,5,63,48.64705882,42.5,34,32,Male
21638,6320,7582,7736,4220,7,1995,4,2,34.4,45.33333333,38,36,Male
31890,17128,9202,5560,2198,28,1996,11,26,46.17647059,48,45,37,Male
13185,5436,2879,4870,2162,7,2012,2,72,38.6,32.5,31,29,Male
11490,5564,1950,3976,2334,11,1995,2,26,41.75,23.5,41,12,Male
19218,4210,1530,13478,12060,9,2005,2,32,50.4,34,41,34,Male
2624,404,648,1572,1168,1,2003,3,64,29,23,19,29,Female
8760,4260,1504,2996,196,4,2000,6,44,30.75,28.33333333,14,14,Female
8616,2853,1554,4209,3228,7,2011,3,0,39.66666667,48,42,35,Male
40928,25628,8466,6834,4594,23,1999,12,38,44.88888889,36.88888889,37,39,Male
24842,13426,4692,6724,4178,13,1989,4,109,42.2,37,40,39,Male
9470,4884,1356,3230,2490,14,1999,4,59,42.5,31,55,35,Male
14890,3629,2397,8864,7658,4,1993,5,23,58.25,55.5,58,42,Male
11613,8004,1107,2502,1904,7,2011,4,5,43,47,52,49,Male
13976,3382,4886,5708,3186,4,2007,4,2,47.33333333,33,40,38,Female
16373,2052,6367,7954,3797,5,2008,10,173,38.8,36,40,39,Male
6489,2073,2404,2012,1103,4,2011,4,3,37,25.25,37,36,Female
25492,9874,4618,11000,6382,5,1998,1,82,50.8,27,61,27,Male
19518,5230,3646,10642,7428,3,2000,2,41,40.33333333,39,33,33,Male
7890,3042,2047,2801,1368,6,2006,3,84,39.83333333,32.33333333,30,41,Male
4634,3027,0,1607,225,4,1997,1,48,41.5,30,30,36,Female
13788,7971,1710,4107,3102,13,2002,3,197,38.90909091,43.66666667,40,72,Male
11184,5200,1162,4822,4304,8,2008,4,37,44.5,36.66666667,42,32,Male
4437,1192,807,2438,1916,3,1990,2,126,60,63,50,66,Male
15066,8242,1720,5104,4074,11,1996,4,356,44.3,40.66666667,34,59,Male
19598,10628,3346,5624,2278,8,2000,1,347,43.625,28,38,28,Male
3164,789,889,1486,597,5,2001,1,48,27.5,35,46,35,Male
18472,9840,3288,5344,2056,9,1987,7,179,53.28571429,48.33333333,41,23,Female
14626,6222,4068,4336,694,7,1997,4,17,52,63,55,63,Male
13484,5330,3560,4594,1566,10,1998,3,224,50.4,46,37,35,Male
12458,4096,3274,5088,3960,11,2001,6,11,49.33333333,46.16666667,33,38,Female
27086,8680,7624,10782,7120,10,1999,7,7,38.375,30.4,30,35,Male
21738,5136,4392,12210,10336,8,1999,8,25,24,35.83333333,50,40,Female
2173,1013,0,1160,466,3,1995,1,2,43.5,29,29,51,Female
22762,13715,4022,5025,694,14,2011,7,16,52,45,31,29,Female
13018,8208,2032,2778,1700,10,1999,3,50,40.9,35.66666667,34,28,Male
18402,6952,3440,8010,4830,7,1999,9,95,35,26,24,31,Female
6841,2248,1921,2672,1412,8,2010,5,23,47.14285714,38.4,46,36,Male
14330,5818,4076,4436,2980,5,1995,4,16,50.75,32,32,37,Male
1658,869,0,789,430,4,1993,1,157,40.33333333,39,39,41,Female
7167,1078,2563,3526,2705,4,2009,5,22,48.75,43.2,52,75,Male
7089,4225,381,2483,527,5,2009,3,44,41.75,47.5,33,42,Female
15363,3867,5146,6350,1204,10,1939,1,45,49.8,34,38,34,Male
7927,1668,992,5267,4611,3,2011,4,77,48.66666667,35.66666667,30,64,Female
14720,4264,1988,8468,7520,7,1999,4,198,35.71428571,35,39,35,Male
14390,4082,6649,3659,481,9,2000,9,40,46.44444444,37.25,63,31,Male
11671,0,5007,6664,3102,1,2013,2,95,51,33,51,32,Male
31942,7642,4408,19892,18182,7,2009,4,27,33.66666667,43.5,27,58,Male
20248,13980,1046,5222,4176,13,2001,1,281,41.4,34,40,34,Male
18760,14624,906,3230,650,13,2004,3,176,42.91666667,36,35,43,Female
17148,10082,1420,5646,4384,14,1999,2,18,39.16666667,28,32,30,Male
9715,3411,3228,3076,745,8,2013,4,0,33,41.5,33,53,Male
19630,5896,5940,7794,3048,5,1980,4,177,25.75,43.66666667,20,44,Male
30354,14432,6428,9494,3476,14,1998,2,69,41.45454545,31,37,29,Male
10265,3905,2126,4234,2108,3,2009,1,11,45.66666667,28,55,28,Male
14073,5509,3324,5240,3760,7,2012,5,61,33.4,46.4,16,27,Male
15570,8497,1884,5189,3305,10,2011,1,41,37.875,38,29,38,Male
9847,2462,2767,4618,3140,6,2012,5,19,27.33333333,32.8,20,22,Male
5845,467,2321,3057,1854,3,1989,2,126,21,20.5,30,9,Male
13556,5664,816,7076,6712,12,1993,4,162,55.875,38.5,39,63,Male
13776,1980,1464,10332,9604,5,2002,3,69,36.2,31,26,29,Male
10506,5124,2578,2804,2082,10,2002,6,48,42,42,29,28,Male
9110,2082,3470,3558,1894,4,1993,4,84,50.66666667,36,46,11,Male
14648,4676,1602,8370,7654,10,2008,4,105,39.77777778,42,30,22,Male
12286,7856,486,3944,330,5,2000,2,63,34.75,27.5,27,25,Female
17666,7660,3990,6016,3282,11,1998,7,75,33.83333333,32,23,22,Male
2276,886,122,1268,864,4,1991,2,89,27,29,28,29,Female
15785,7374,736,7675,7251,10,1997,2,33,38.2,13,42,13,Male
16742,114,7110,9518,9404,1,2009,9,55,47,32.8,26,47,Female
18434,5669,7123,5642,2996,7,2005,10,52,40.5,39.3,20,31,Female
11874,6181,1814,3879,2749,8,2011,3,31,53,31.66666667,40,32,Male
23950,13004,4194,6752,5074,18,1993,4,48,35.44444444,25.33333333,53,27,Male
15580,9818,1642,4120,166,9,2002,4,45,43,34,25,30,Female
14298,5774,756,7768,4990,5,2008,4,15,42,42,26,58,Female
25982,5844,8582,11556,3928,6,1991,2,12,46.5,34.5,60,56,Male
14170,4778,4582,4810,2872,8,2008,7,41,48.625,37.71428571,46,33,Male
18744,242,8528,9974,4878,2,1954,2,30,41.5,38.5,46,25,Male
18687,8765,5762,4160,1362,10,2011,10,41,39.2,46.5,26,53,Female
19058,10542,124,8392,8268,7,2000,1,37,44.57142857,24,28,24,Male
7522,960,3750,2812,755,3,2010,5,21,41.33333333,37.25,24,29,Male
10942,7476,1012,2454,1442,12,1990,1,57,49.08333333,71,40,71,Male
13302,3246,2930,7126,5306,6,2008,4,27,46.33333333,40,34,60,Male
7344,4150,931,2263,1332,5,2012,1,112,34.75,36,32,36,Male
14014,1839,6383,5792,4385,3,2011,6,40,28.5,25.66666667,31,29,Female
18864,5644,4648,8572,3924,6,2008,1,21,36,26,26,26,Male
20454,9166,3988,7300,332,6,1999,9,260,53,42.42857143,32,50,Female
9147,5257,999,2891,2368,10,2013,3,28,46.25,31.66666667,35,29,Male
7316,2279,467,4570,4103,7,1998,1,261,40,39,26,39,Male
16402,5516,1626,9260,8044,5,2001,3,347,45,25,29,28,Male
9007,2872,1721,4414,3147,6,2012,3,2,47,37,37,47,Female
8772,6656,340,1776,1436,12,1993,1,68,24.58333333,42,27,42,Male
17065,6589,1855,8621,5090,6,2013,5,89,45,47.25,54,57,Female
16106,3426,2916,9764,8402,4,2004,5,77,46,30,42,33,Male
20247,4972,6935,8340,5121,8,2010,7,34,27,24.28571429,22,26,Male
15060,7712,3910,3438,1108,7,2000,6,143,28.57142857,33.16666667,36,27,Female
20310,9910,1562,8838,7276,13,1995,1,200,42.9,23,58,23,Male
33402,9614,17658,6130,3602,7,1995,8,85,43.28571429,41.85714286,36,35,Female
28612,10148,7650,10814,8732,10,2005,5,34,34.85714286,28.8,34,36,Male
10920,1585,4496,4839,1951,5,2012,5,6,55,42,53,49,Male
29954,4770,13530,11654,9494,6,2008,10,185,45.66666667,46.14285714,43,54,Female
14760,3734,4280,6746,2466,2,1989,1,54,31.5,27,29,27,Male
18248,7728,4664,5856,3038,12,1998,5,185,36.66666667,44.5,28,26,Male
5422,1066,2012,2344,332,5,1994,1,5,43.75,28,30,28,Male
4246,225,1937,2084,817,2,2011,3,4,42,26.5,33,26,Male
18864,6376,5228,7260,3668,9,2001,4,17,54.625,40,42,41,Male
12592,2660,3288,6644,3356,4,2001,1,411,42.33333333,29,38,29,Male
7446,3996,1141,2309,1689,8,2007,3,405,50.85714286,35.33333333,44,35,Male
27072,11324,4728,11020,7930,5,2004,5,100,38.2,37.25,44,43,Male
20260,5658,5916,8686,3230,10,1998,2,75,43.5,36,44,40,Male
25458,5766,9172,10520,6394,11,2002,7,14,45.25,28.6,62,43,Male
5171,2063,0,3108,2315,3,1992,1,100,38.33333333,30,30,31,Female
19960,11787,1789,6384,1364,8,1993,4,13,38.25,35,49,25,Female
10456,3776,1686,4994,3506,5,1999,2,503,26,27,44,27,Male
7350,2276,2277,2797,2143,5,1993,6,266,33,33.16666667,37,31,Male
12470,2918,3058,6494,4418,7,1999,2,172,43.28571429,30,36,19,Male
28970,18496,4176,6298,3708,14,1996,6,48,40.7,27.5,41,34,Male
17460,10182,1068,6210,5296,11,2008,2,170,36,24,52,24,Male
15440,5280,5894,4266,1545,15,2012,6,169,45.16666667,35.33333333,29,22,Male
20670,12771,1816,6083,5205,15,2010,4,106,39.61538462,29.5,27,25,Male
9480,6150,1412,1918,44,8,1998,4,27,36.42857143,33,33,54,Female
14376,4274,5248,4854,1956,8,1987,5,22,35.28571429,39.5,38,31,Male
13947,3114,3212,7621,4409,5,2011,1,60,34.75,38,31,38,Male
24656,10840,6206,7610,1822,5,1998,2,68,49.4,40,61,40,Male
14751,4808,7372,2571,102,5,1985,6,92,33.25,24.4,23,23,Male
10129,5260,1688,3181,1620,10,2005,2,515,49.375,26,34,24,Male
9001,5952,1025,2024,999,11,1980,1,937,43.2,24,38,24,Male
9041,4914,1788,2339,1621,15,1999,3,813,47.15384615,25.66666667,47,18,Male
27600,5278,10688,11634,7964,4,1998,5,168,34.66666667,49.66666667,52,48,Female
12714,6228,3594,2892,1596,11,2001,7,1,28.85714286,34.33333333,34,29,Male
21228,5178,6314,9736,5734,8,1995,5,15,40,29,33,37,Male
16770,6756,5076,4938,2014,9,2008,5,14,47.71428571,43.75,34,74,Female
7939,5744,166,2029,1863,11,2011,1,139,33.5,20,14,20,Male
12276,6631,774,4871,4097,7,2007,1,153,27.14285714,19,24,19,Male
10482,4782,2472,3228,1076,4,1984,5,35,45.5,35,43,28,Female
12471,3948,3215,5308,3201,12,2009,3,44,34.66666667,33,31,36,Male
7180,1984,1806,3390,2312,5,2004,4,12,40,42.33333333,36,37,Male
17940,3522,8732,5686,1472,6,1997,6,8,41.6,35.5,66,18,Male
18118,8284,1840,7994,7382,5,1996,6,8,28,26.33333333,30,26,Male
5713,1944,1004,2765,2058,3,2001,3,107,38,25,47,35,Male
17147,14024,1189,1934,1486,26,2005,3,68,46.88235294,33,44,33,Male
11812,2022,4046,5744,2696,7,2011,6,1,44.33333333,43,37,34,Male
21436,8558,4432,8446,5560,7,1999,4,139,36.85714286,33.25,29,27,Male
16854,4058,9568,3228,324,4,2010,10,0,50,35.375,57,44,Male
12248,5859,2415,3974,1971,8,2012,4,239,49.57142857,30,41,29,Male
9000,4834,456,3710,738,8,1984,2,99,39.5,27,28,28,Female
3963,878,1661,1424,652,4,2009,4,145,29.33333333,35,33,34,Male
13820,4114,4943,4763,3067,5,1991,4,93,38.2,39,35,52,Female
23008,10908,6930,5170,482,9,1998,7,326,44.66666667,38,34,26,Male
19556,4328,9260,5968,145,8,2012,9,73,46.25,30.57142857,43,40,Male
20597,11136,5413,4048,1056,11,2011,4,198,44.66666667,34.75,28,30,Male
8220,5438,271,2511,2367,8,1999,2,103,31.75,22,38,24,Male
7482,4804,1196,1482,702,8,1993,3,113,35.57142857,28.5,23,34,Male
6359,3747,1466,1146,419,9,2004,3,9,36.5,24.33333333,49,24,Male
8789,5468,565,2756,2191,13,2011,1,26,47.84615385,47,53,47,Male
17472,6694,5472,5306,2722,8,1990,6,2,62.33333333,47.66666667,44,49,Male
6644,3882,520,2242,1894,15,1993,2,118,46.42857143,35,42,37,Male
3710,1645,104,1961,1857,7,2001,1,117,42.14285714,22,31,22,Male
10874,4974,1138,4762,4190,7,1996,4,32,27.66666667,25.5,25,20,Male
14606,6388,2874,5344,3404,8,1990,4,34,49,40.5,48,30,Male
9476,6002,672,2802,156,6,2006,2,19,37.6,30,26,39,Female
26304,16956,4116,5232,3666,17,2004,4,186,44.3125,37,36,28,Male
15732,4358,5678,5696,2378,6,1994,4,303,47.2,25.66666667,47,36,Male
23842,11954,226,11662,11436,15,1993,1,25,36.46666667,50,24,50,Male
14178,7438,1806,4934,1254,10,2008,6,231,29.11111111,24.66666667,18,22,Female
7648,3886,864,2898,2458,8,1988,2,237,44.16666667,29,44,32,Male
14546,2836,2682,9028,6346,9,2005,1,31,45.625,51,36,51,Male
32538,13134,8526,10878,3848,8,1997,4,12,44.625,32.5,37,28,Male
8754,2234,786,5734,5349,8,2009,3,103,41.85714286,37,40,32,Male
12146,7446,434,4266,824,7,1983,2,15,41,34,38,42,Female
10606,1318,3411,5877,3333,4,2009,4,97,36.5,30.33333333,48,24,Male
8026,3539,3110,1377,13,9,2010,8,121,37.22222222,41.85714286,32,38,Male
15316,9908,200,5208,5008,18,2008,1,100,49.16666667,32,46,32,Male
20814,9976,1376,9462,8436,8,1982,2,159,57.5,33,57,36,Male
2987,298,1317,1372,1074,1,1958,3,29,70,32,25,70,Female
16266,6118,5084,5064,2302,7,2007,4,11,45,51.66666667,60,47,Male
22758,10192,4728,7838,4518,17,1997,8,81,52.85714286,36.75,54,28,Male
19578,7542,3290,8746,6536,13,1987,5,97,48.58333333,27.5,43,27,Male
8562,5983,677,1902,1366,11,2011,2,15,46.625,32,44,32,Male
12572,8632,696,3244,2548,10,2010,1,2,39,16,32,16,Male
8619,3033,1881,3705,2974,10,2010,8,1,44,47.5,40,49,Female
30788,16946,3958,9884,1834,12,1990,5,30,49.2,37.6,23,26,Female
17823,9941,1510,6372,5654,9,2007,3,212,50.11111111,40,54,39,Male
18396,6280,8200,3916,1550,8,1998,7,55,42.33333333,33.5,34,29,Male
10470,3580,1448,5442,4176,3,1999,2,195,51.66666667,33,52,33,Male
